id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-09cd2b22bc4bdadd9,049450565398,,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,,VMware ESXi,vmnix-x86,VMware ESXi 5.5.0 build-3029944,30303038-3337-584d-5135-343630383848,VMWARE_HOST,ACTIVE,2018-06-22 17:17:11,2018-09-20 14:52:39,
d-server-0cbed3ea05b5dfb0c,049450565398,,vCPU,mildap.oneomg.com,VMware ESXi,otherGuestFamily,Linux 2.6.32-696.18.7.el6.x86_64 CentOS release 6.9 (Final),4201a1de-6cc1-89d9-42eb-00aff788dc50,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:43,
d-server-03339844a2a1773fe,049450565398,,vCPU,NAIDCCONCUR.global.com,VMware ESXi,,Microsoft Windows Server 2012 (64-bit),42019bf4-4993-6b59-1355-ed3d72e47636,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-07-31 14:58:19,
d-server-0e979d0eb3608ccac,049450565398,,vCPU,,VMware ESXi,,,4201a6a0-545b-51e7-7cb2-22d3959cd2d8,VMWARE_VM,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:31,
d-server-09bc4cbce261d21d3,049450565398,,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,,VMware ESXi,vmnix-x86,VMware ESXi 5.5.0 build-3116895,31333138-3739-4d32-3236-32373031324a,VMWARE_HOST,ACTIVE,2018-06-22 17:17:13,2018-09-20 14:52:39,
d-server-0a89f7dd74de82a9c,049450565398,,vCPU,na-us-idc7.extnet.ext,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201c7cb-5518-233f-cbd8-3d0f06f48320,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33,
d-server-01pt94q91i3ndf,049450565398,,vCPU,NY3-UFRPS01.HUBRESOURCE.PVT,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201da3d-cd30-80ef-ec6b-2befe7f76e82,VMWARE_VM,ACTIVE,2018-08-15 17:47:38,2018-09-20 14:53:33,
d-server-0a83f403b8626a18c,049450565398,,vCPU,CTXUSSECDSK00PD.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,4201db08-5d30-92d0-1467-59f80e0f70ac,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:32,
d-server-01c5822ca978b4b53,049450565398,,vCPU,NAIDCARCTESTSVR.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42012657-19f6-52ba-83d1-affec88050e7,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:38,
d-server-012a46041c354b025,049450565398,,vCPU,NYCFP711-old,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201056f-7642-d9f9-e66d-5763274d8697,VMWARE_VM,ACTIVE,2018-06-22 17:18:35,2018-08-30 19:16:16,
