,instanceType,instanceFamily,OS,ecu,vcpu,memory,normSizeFactor,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
42467,c4.large,Compute optimized,Windows,8.0,2,3.75,4,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
42703,r4.16xlarge,Memory optimized,RHEL,195.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),12000.0,False,20.0,False
42830,c4.xlarge,Compute optimized,Windows,16.0,4,7.5,8,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
42852,m5.2xlarge,General purpose,SUSE,31.0,8,32.0,16,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
42887,m5.2xlarge,General purpose,Linux,31.0,8,32.0,16,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
44172,c5.18xlarge,Compute optimized,SUSE,281.0,72,144.0,144,EBS only,Intel Xeon Platinum 8124M,9000.0,False,25.0,False
44469,m4.2xlarge,General purpose,Linux,26.0,8,32.0,16,EBS only,Intel Xeon E5-2676 v3 (Haswell),1000.0,False,1.0,False
44596,g3.16xlarge,GPU instance,SUSE,188.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,20.0,False
45035,g3.4xlarge,GPU instance,RHEL,47.0,16,122.0,32,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3500.0,False,10.0,True
45353,c4.8xlarge,Compute optimized,Windows,132.0,36,60.0,64,EBS only,Intel Xeon E5-2666 v3 (Haswell),4000.0,False,10.0,False
45380,r4.4xlarge,Memory optimized,RHEL,53.0,16,122.0,32,EBS only,Intel Xeon E5-2686 v4 (Broadwell),3000.0,False,10.0,True
